title,country,awards
Bewitched,USA,0
BloodRayne,USA,0
BloodRayne,Germany,0
Brick,USA,0
Brokeback Mountain,USA,3
Brokeback Mountain,Canada,3
Capote,USA,1
Capote,Canada,1
Charlie and the Chocolate Factory,USA,0
Charlie and the Chocolate Factory,UK,0
Cinderella Man,USA,0
Coach Carter,USA,0
Coach Carter,Germany,0
Constantine,USA,0
Constantine,Germany,0
Conversations with Other Women,UK,0
Conversations with Other Women,USA,0
Corpse Bride,UK,0
Corpse Bride,USA,0
Cursed,USA,0
Cursed,Germany,0
Dark Water,USA,0
Domino,France,0
Domino,USA,0
Domino,UK,0
Doom,UK,0
Doom,Czech Republic,0
Doom,Germany,0
Doom,USA,0
Fantastic Four,USA,0
Fantastic Four,Germany,0
Flightplan,USA,0
Fun with Dick and Jane,USA,0
"Good Night, and Good Luck.",USA,0
"Good Night, and Good Luck.",France,0
"Good Night, and Good Luck.",UK,0
"Good Night, and Good Luck.",Japan,0
Hard Candy,USA,0
Harry Potter and the Goblet of Fire,UK,0
Harry Potter and the Goblet of Fire,USA,0
Herbie Fully Loaded,USA,0
Hide and Seek,USA,0
Hide and Seek,Germany,0
Hitch,USA,0
Hoodwinked!,USA,0
Hostel,USA,0
Jarhead,Germany,0
Jarhead,USA,0
Junebug,USA,0
Just Like Heaven,USA,0
King Kong,New Zealand,3
King Kong,USA,3
King Kong,Germany,3
Kingdom of Heaven,USA,0
Kingdom of Heaven,UK,0
Kingdom of Heaven,Spain,0
Kingdom of Heaven,Germany,0
Kingdom of Heaven,Morocco,0
Kiss Kiss Bang Bang,USA,0
Lord of War,France,0
Lord of War,USA,0
Lord of War,Germany,0
Madagascar,USA,0
Match Point,UK,0
Match Point,Russia,0
Match Point,Ireland,0
Match Point,Luxembourg,0
Match Point,USA,0
Me and You and Everyone We Know,USA,0
Me and You and Everyone We Know,UK,0
Memoirs of a Geisha,USA,3
MirrorMask,UK,0
MirrorMask,USA,0
Munich,USA,0
Munich,Canada,0
Munich,France,0
North Country,USA,0
Oliver Twist,UK,0
Oliver Twist,Czech Republic,0
Oliver Twist,France,0
Oliver Twist,Italy,0
Proof,USA,0
Red Eye,USA,0
Rent,USA,0
Robots,USA,0
Saw II,USA,0
Saw II,Canada,0
Serenity,USA,0
Shopgirl,USA,0
Sin City,USA,0
Sisters in Law,Cameroon,0
Sisters in Law,UK,0
Sky High,USA,0
Son of the Mask,USA,0
Son of the Mask,Germany,0
Star Wars: Episode III - Revenge of the Sith,USA,0
Stealth,USA,0
Thank You for Smoking,USA,0
The Adventures of Sharkboy and Lavagirl 3-D,USA,0
The Amityville Horror,USA,0
The Ballad of Jack and Rose,USA,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",USA,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",UK,1
The Constant Gardener,UK,1
The Constant Gardener,Germany,1
The Constant Gardener,USA,1
The Constant Gardener,China,1
The Descent,UK,0
The Exorcism of Emily Rose,USA,0
The Fog,USA,0
The Island,USA,0
The Jacket,USA,0
The Jacket,Germany,0
The Legend of Zorro,USA,0
The New World,USA,0
The New World,UK,0
The Ring Two,USA,0
The Skeleton Key,USA,0
The Skeleton Key,Germany,0
The Squid and the Whale,USA,0
Transamerica,USA,0
Tristram Shandy: A Cock and Bull Story,UK,0
V for Vendetta,USA,0
V for Vendetta,UK,0
V for Vendetta,Germany,0
Walk the Line,USA,1
Walk the Line,Germany,1
War of the Worlds,USA,0
Water,Canada,0
Water,India,0
White Noise,UK,0
White Noise,Canada,0
White Noise,USA,0
Zathura: A Space Adventure,USA,0
13 Going on 30,USA,0
2046,Hong Kong,0
2046,China,0
2046,France,0
2046,Italy,0
2046,Germany,0
50 First Dates,USA,0
A Cinderella Story,USA,0
A Cinderella Story,Canada,0
A Very Long Engagement,France,0
A Very Long Engagement,USA,0
Anchorman: The Legend of Ron Burgundy,USA,0
Around the World in 80 Days,USA,0
Around the World in 80 Days,Germany,0
Around the World in 80 Days,Ireland,0
Around the World in 80 Days,UK,0
AVP: Alien vs. Predator,USA,0
AVP: Alien vs. Predator,UK,0
AVP: Alien vs. Predator,Czech Republic,0
AVP: Alien vs. Predator,Canada,0
AVP: Alien vs. Predator,Germany,0
Before Sunset,USA,0
Bridget Jones: The Edge of Reason,UK,0
Bridget Jones: The Edge of Reason,France,0
Bridget Jones: The Edge of Reason,Germany,0
Bridget Jones: The Edge of Reason,Ireland,0
Bridget Jones: The Edge of Reason,USA,0
Catwoman,USA,0
Cellular,USA,0
Cellular,Germany,0
Closer,USA,0
Closer,UK,0
Collateral,USA,0
Connie and Carla,USA,0
Crash,USA,3
Crash,Germany,3
D.E.B.S.,USA,0
Dawn of the Dead,USA,0
Dawn of the Dead,Canada,0
Dawn of the Dead,Japan,0
Dawn of the Dead,France,0
Dodgeball: A True Underdog Story,USA,0
Dodgeball: A True Underdog Story,Germany,0
Ella Enchanted,USA,0
Ella Enchanted,Ireland,0
Ella Enchanted,UK,0
Eternal Sunshine of the Spotless Mind,USA,1
Finding Neverland,USA,1
Finding Neverland,UK,1
Flight of the Phoenix,USA,0
Garden State,USA,0
Hellboy,USA,0
Home on the Range,USA,0
I Heart Huckabees,USA,0
I Heart Huckabees,UK,0
I Heart Huckabees,Germany,0
"I, Robot",USA,0
"I, Robot",Germany,0
In Good Company,USA,0
Kinsey,USA,0
Kinsey,Germany,0
Kung Fu Hustle,Hong Kong,0
Kung Fu Hustle,China,0
Layer Cake,UK,0
Maria Full of Grace,Colombia,0
Maria Full of Grace,USA,0
Maria Full of Grace,Ecuador,0
Mean Girls,USA,0
Mean Girls,Canada,0
Million Dollar Baby,USA,4
Miracle,USA,0
My Summer of Love,UK,0
Napoleon Dynamite,USA,0
New York Minute,USA,0
Primer,USA,0
Raising Helen,USA,0
Ray,USA,2
Resident Evil: Apocalypse,Germany,0
Resident Evil: Apocalypse,France,0
Resident Evil: Apocalypse,UK,0
Resident Evil: Apocalypse,Canada,0
Resident Evil: Apocalypse,USA,0
Saved!,USA,0
Saved!,Canada,0
Saw,USA,0
Saw,Australia,0
Secret Window,USA,0
Shark Tale,USA,0
Shaun of the Dead,UK,0
Shaun of the Dead,France,0
Shaun of the Dead,USA,0
Shrek 2,USA,0
Sideways,USA,1
Sky Captain and the World of Tomorrow,USA,0
Sky Captain and the World of Tomorrow,UK,0
Sky Captain and the World of Tomorrow,Italy,0
Spanglish,USA,0
Spider-Man 2,USA,1
Team America: World Police,USA,0
Team America: World Police,Germany,0
The Aviator,USA,5
The Aviator,Germany,5
The Bourne Supremacy,USA,0
The Bourne Supremacy,Germany,0
The Butterfly Effect,USA,0
The Butterfly Effect,Canada,0
The Chronicles of Riddick,USA,0
The Day After Tomorrow,USA,0
The Grudge,USA,0
The Grudge,Japan,0
The Incredibles,USA,2
The Life Aquatic with Steve Zissou,USA,0
The Notebook,USA,0
The Phantom of the Opera,UK,0
The Phantom of the Opera,USA,0
The Polar Express,USA,0
The Princess Diaries 2: Royal Engagement,USA,0
The Stepford Wives,USA,0
The Terminal,USA,0
The Village,USA,0
Troy,USA,0
Troy,Malta,0
Troy,UK,0
Van Helsing,USA,0
Van Helsing,Czech Republic,0
Vera Drake,UK,0
Vera Drake,France,0
White Chicks,USA,0
Wimbledon,UK,0
Wimbledon,France,0
Wimbledon,USA,0
2 Fast 2 Furious,USA,0
2 Fast 2 Furious,Germany,0
Big Fish,USA,0
Bon voyage,France,0
Bruce Almighty,USA,0
Cold Mountain,USA,1
Cold Mountain,UK,1
Cold Mountain,Romania,1
Cold Mountain,Italy,1
Cradle 2 the Grave,USA,0
Daddy Day Care,USA,0
Daredevil,USA,0
Darkness Falls,USA,0
Darkness Falls,Australia,0
Dreamcatcher,USA,0
Dreamcatcher,Australia,0
Final Destination 2,USA,0
Final Destination 2,Canada,0
Finding Nemo,USA,1
Freaky Friday,USA,0
Girl with a Pearl Earring,UK,0
Girl with a Pearl Earring,Luxembourg,0
Holes,USA,0
House of Sand and Fog,USA,0
How to Lose a Guy in 10 Days,USA,0
How to Lose a Guy in 10 Days,Germany,0
Hulk,USA,0
Identity,USA,0
In the Cut,Australia,0
In the Cut,USA,0
In the Cut,UK,0
Jeepers Creepers II,USA,0
Kill Bill: Vol. 1,USA,0
Lara Croft Tomb Raider: The Cradle of Life,USA,0
Lara Croft Tomb Raider: The Cradle of Life,Germany,0
Lara Croft Tomb Raider: The Cradle of Life,Japan,0
Lara Croft Tomb Raider: The Cradle of Life,UK,0
Love Actually,UK,0
Love Actually,USA,0
Love Actually,France,0
Master and Commander: The Far Side of the World,USA,2
Mona Lisa Smile,USA,0
Monster,USA,1
Monster,Germany,1
Mystic River,USA,2
Mystic River,Australia,2
Peter Pan,Australia,0
Peter Pan,USA,0
Peter Pan,UK,0
Pirates of the Caribbean: The Curse of the Black Pearl,USA,0
S.W.A.T.,USA,0
Scary Movie 3,USA,0
Scary Movie 3,Canada,0
Secondhand Lions,USA,0
Shanghai Knights,USA,0
Shanghai Knights,Hong Kong,0
Shattered Glass,USA,0
Shattered Glass,Canada,0
Sinbad: Legend of the Seven Seas,USA,0
Spy Kids 3-D: Game Over,USA,0
Swimming Pool,France,0
Swimming Pool,UK,0
Terminator 3: Rise of the Machines,USA,0
Terminator 3: Rise of the Machines,Germany,0
Terminator 3: Rise of the Machines,UK,0
The Italian Job,USA,0
The Italian Job,France,0
The Italian Job,UK,0
The Jungle Book 2,USA,0
The Jungle Book 2,Australia,0
The Last Samurai,USA,0
The Last Samurai,New Zealand,0
The Last Samurai,Japan,0
The League of Extraordinary Gentlemen,USA,0
The League of Extraordinary Gentlemen,Germany,0
The League of Extraordinary Gentlemen,Czech Republic,0
The League of Extraordinary Gentlemen,UK,0
The Lord of the Rings: The Return of the King,USA,11
The Lord of the Rings: The Return of the King,New Zealand,11
The Matrix Reloaded,USA,0
The Matrix Reloaded,Australia,0
The Matrix Revolutions,Australia,0
The Matrix Revolutions,USA,0
The Missing,USA,0
Thirteen,USA,0
Undead,Australia,0
Underworld,UK,0
Underworld,Germany,0
Underworld,Hungary,0
Underworld,USA,0
Wrong Turn,USA,0
Wrong Turn,Germany,0
25th Hour,USA,0
28 Days Later...,UK,0
8 Mile,USA,1
8 Mile,Germany,1
About Schmidt,USA,0
All or Nothing,UK,0
All or Nothing,France,0
Antwone Fisher,USA,0
Austin Powers in Goldmember,USA,0
Bend It Like Beckham,UK,0
Bend It Like Beckham,Germany,0
Bend It Like Beckham,USA,0
Blade II,USA,0
Blade II,Germany,0
Blue Crush,USA,0
Blue Crush,Germany,0
Cabin Fever,USA,0
Carrie,USA,0
Catch Me If You Can,USA,0
Catch Me If You Can,Canada,0
Chicago,USA,6
Chicago,Germany,6
Chicago,Canada,6
Crossroads,USA,0
Death to Smoochy,USA,0
Death to Smoochy,UK,0
Death to Smoochy,Germany,0
Die Another Day,UK,0
Die Another Day,USA,0
Drumline,USA,0
Equilibrium,USA,0
Far from Heaven,USA,0
Far from Heaven,France,0
Frida,USA,2
Frida,Canada,2
Frida,Mexico,2
Funny Ha Ha,USA,0
Gangs of New York,USA,0
Gangs of New York,Italy,0
Gerry,USA,0
Harry Potter and the Chamber of Secrets,USA,0
Harry Potter and the Chamber of Secrets,UK,0
Harry Potter and the Chamber of Secrets,Germany,0
High Crimes,USA,0
I Spy,USA,0
Ice Age,USA,0
Igby Goes Down,USA,0
Insomnia,USA,0
Insomnia,Canada,0
Maid in Manhattan,USA,0
May,USA,0
Men in Black II,USA,0
Minority Report,USA,0
My Big Fat Greek Wedding,USA,0
My Big Fat Greek Wedding,Canada,0
Panic Room,USA,0
Phone Booth,USA,0
Queen of the Damned,USA,0
Queen of the Damned,Australia,0
Rabbit-Proof Fence,Australia,0
Real Women Have Curves,USA,0
Red Dragon,USA,0
Red Dragon,Germany,0
Reign of Fire,UK,0
Reign of Fire,Ireland,0
Reign of Fire,USA,0
Resident Evil,UK,0
Resident Evil,Germany,0
Resident Evil,France,0
Resident Evil,USA,0
Scooby-Doo,USA,0
Scooby-Doo,Australia,0
Signs,USA,0
Snow Dogs,Canada,0
Snow Dogs,USA,0
Solaris,USA,0
Spider-Man,USA,0
Spirit: Stallion of the Cimarron,USA,0
Spun,USA,0
Spy Kids 2: Island of Lost Dreams,USA,0
Star Trek: Nemesis,USA,0
Star Wars: Episode II - Attack of the Clones,USA,0
The Adventures of Pluto Nash,USA,0
The Adventures of Pluto Nash,Australia,0
The Banger Sisters,USA,0
The Bourne Identity,USA,0
The Bourne Identity,Germany,0
The Bourne Identity,Czech Republic,0
The Dangerous Lives of Altar Boys,USA,0
The Good Girl,USA,0
The Good Girl,Germany,0
The Good Girl,Netherlands,0
The Hours,USA,1
The Hours,UK,1
The Importance of Being Earnest,UK,0
The Importance of Being Earnest,USA,0
The Lord of the Rings: The Two Towers,USA,2
The Lord of the Rings: The Two Towers,New Zealand,2
The Quiet American,Germany,0
The Quiet American,USA,0
The Quiet American,UK,0
The Quiet American,Australia,0
The Quiet American,France,0
The Ring,USA,0
The Ring,Japan,0
The Rules of Attraction,USA,0
The Rules of Attraction,Germany,0
The Santa Clause 2,USA,0
The Sweetest Thing,USA,0
The Tuxedo,USA,0
Treasure Planet,USA,0
Tuck Everlasting,USA,0
Two Weeks Notice,USA,0
Two Weeks Notice,Australia,0
We Were Soldiers,USA,0
We Were Soldiers,Germany,0
Whale Rider,New Zealand,0
Whale Rider,Germany,0
White Oleander,USA,0
xXx,USA,0
A Beautiful Mind,USA,4
American Outlaws,USA,0
Antitrust,USA,0
Atlantis: The Lost Empire,USA,0
Black Hawk Down,USA,2
Black Hawk Down,UK,2
Blow,USA,0
Donnie Darko,USA,0
Dr. Dolittle 2,USA,0
From Hell,USA,0
Ghost World,USA,0
Ghost World,UK,0
Ghost World,Germany,0
Gosford Park,UK,1
Gosford Park,USA,1
Gosford Park,Italy,1
Hannibal,UK,0
Hannibal,USA,0
Hedwig and the Angry Inch,USA,0
High Heels and Low Lifes,UK,0
High Heels and Low Lifes,USA,0
Impostor,USA,0
Jason X,USA,0
Jay and Silent Bob Strike Back,USA,0
Jeepers Creepers,Germany,0
Jeepers Creepers,USA,0
Josie and the Pussycats,Canada,0
Josie and the Pussycats,USA,0
Kissing Jessica Stein,USA,0
L.I.E.,USA,0
Lara Croft: Tomb Raider,USA,0
Lara Croft: Tomb Raider,UK,0
Lara Croft: Tomb Raider,Japan,0
Lara Croft: Tomb Raider,Germany,0
Legally Blonde,USA,0
Monkeybone,USA,0
Monsoon Wedding,India,0
Monsoon Wedding,USA,0
Monsoon Wedding,Italy,0
Monsoon Wedding,Germany,0
Monsoon Wedding,France,0
"Monsters, Inc.",USA,1
Moulin Rouge!,USA,2
Moulin Rouge!,Australia,2
Nowhere in Africa,Germany,1
Osmosis Jones,USA,0
Pearl Harbor,USA,1
Save the Last Dance,USA,0
Shallow Hal,USA,0
Shallow Hal,Germany,0
Shaolin Soccer,Hong Kong,0
Shaolin Soccer,China,0
Shrek,USA,1
Spy Kids,USA,0
Super Troopers,USA,0
The Fast and the Furious,USA,0
The Fast and the Furious,Germany,0
The Glass House,USA,0
The Lord of the Rings: The Fellowship of the Ring,New Zealand,4
The Lord of the Rings: The Fellowship of the Ring,USA,4
The Majestic,USA,0
The Majestic,Australia,0
The One,USA,0
The Others,USA,0
The Others,Spain,0
The Others,France,0
The Others,Italy,0
The Princess Diaries,USA,0
The Royal Tenenbaums,USA,0
The Wedding Planner,Germany,0
The Wedding Planner,USA,0
Thir13en Ghosts,USA,0
Thir13en Ghosts,Canada,0
Training Day,USA,1
Training Day,Australia,1
Valentine,USA,0
Vanilla Sky,USA,0
Vanilla Sky,Spain,0
Zoolander,USA,0
Zoolander,Australia,0
Zoolander,Germany,0
28 Days,USA,0
Almost Famous,USA,1
American Psycho,USA,0
Beautiful Creatures,UK,0
Best in Show,USA,0
Billy Elliot,UK,0
Billy Elliot,France,0
Boiler Room,USA,0
Bring It On,USA,0
Cast Away,USA,0
Center Stage,USA,0
Chicken Run,UK,0
Chicken Run,USA,0
Chocolat,UK,0
Chocolat,USA,0
Coyote Ugly,USA,0
Dancer in the Dark,Spain,0
Dancer in the Dark,Argentina,0
Dancer in the Dark,Denmark,0
Dancer in the Dark,Germany,0
Dancer in the Dark,Netherlands,0
Dancer in the Dark,Italy,0
Dancer in the Dark,USA,0
Dancer in the Dark,UK,0
Dancer in the Dark,France,0
Dancer in the Dark,Sweden,0
Dancer in the Dark,Finland,0
Dancer in the Dark,Iceland,0
Dancer in the Dark,Norway,0
Dune,USA,0
Dune,Canada,0
Dune,Germany,0
Dune,Italy,0
Erin Brockovich,USA,1
Final Destination,USA,0
Final Destination,Canada,0
Gladiator,USA,5
Gladiator,UK,5
Gone in Sixty Seconds,USA,0
High Fidelity,UK,0
High Fidelity,USA,0
Hollow Man,USA,0
Hollow Man,Germany,0
Little Nicky,USA,0
Meet the Parents,USA,0
Memento,USA,0
Miss Congeniality,USA,0
Miss Congeniality,Australia,0
Mission to Mars,USA,0
"O Brother, Where Art Thou?",UK,0
"O Brother, Where Art Thou?",France,0
"O Brother, Where Art Thou?",USA,0
Pitch Black,USA,0
Red Planet,USA,0
Red Planet,Australia,0
Remember the Titans,USA,0
Requiem for a Dream,USA,0
Return to Me,USA,0
Romeo Must Die,USA,0
Saving Grace,UK,0
Scream 3,USA,0
Sexy Beast,UK,0
Sexy Beast,Spain,0
Shanghai Noon,USA,0
Shanghai Noon,Hong Kong,0
Snatch.,UK,0
Snatch.,USA,0
Songcatcher,USA,0
The Beach,USA,0
The Beach,UK,0
The Cell,USA,0
The Cell,Germany,0
The Gift,USA,0
The Patriot,Germany,0
The Patriot,USA,0
The Road to El Dorado,USA,0
The Whole Nine Yards,USA,0
Titan A.E.,USA,0
Unbreakable,USA,0
Urbania,USA,0
Vertical Limit,USA,0
Vertical Limit,Germany,0
What Lies Beneath,USA,0
What Women Want,USA,0
Where the Heart Is,USA,0
X-Men,USA,0
10 Things I Hate About You,USA,0
8MM,USA,0
8MM,Germany,0
American Beauty,USA,5
American Pie,USA,0
Analyze This,USA,0
Analyze This,Australia,0
Anna and the King,USA,0
Anywhere But Here,USA,0
Austin Powers: The Spy Who Shagged Me,USA,0
Being John Malkovich,USA,0
Cruel Intentions,USA,0
Dick,France,0
Dick,Canada,0
Dick,USA,0
Dogma,USA,0
Drop Dead Gorgeous,USA,0
Drop Dead Gorgeous,Germany,0
Election,USA,0
Eyes Wide Shut,UK,0
Eyes Wide Shut,USA,0
Fight Club,USA,0
Fight Club,Germany,0
Flawless,USA,0
For Love of the Game,USA,0
Galaxy Quest,USA,0
"Girl, Interrupted",USA,1
"Girl, Interrupted",Germany,1
Jawbreaker,USA,0
Magnolia,USA,0
Mystery Men,USA,0
Notting Hill,UK,0
Notting Hill,USA,0
Office Space,USA,0
Payback,USA,0
Ravenous,Czech Republic,0
Ravenous,UK,0
Ravenous,USA,0
Sleepy Hollow,USA,1
Sleepy Hollow,Germany,1
Star Wars: Episode I - The Phantom Menace,USA,0
Stuart Little,Germany,0
Stuart Little,USA,0
Tarzan,USA,1
The 13th Warrior,USA,0
The Blair Witch Project,USA,0
The Green Mile,USA,0
The Haunting,USA,0
The Iron Giant,USA,0
The Matrix,USA,4
The Matrix,Australia,4
The Mummy,USA,0
The Sixth Sense,USA,0
The Talented Mr. Ripley,USA,0
Topsy-Turvy,UK,2
Toy Story 2,USA,0
Wild Wild West,USA,0
54,USA,0
American History X,USA,0
Armageddon,USA,0
Beloved,USA,0
Blade,USA,0
Bride of Chucky,Canada,0
Bride of Chucky,USA,0
Dark City,Australia,0
Dark City,USA,0
Deep Impact,USA,0
Disturbing Behavior,Australia,0
Disturbing Behavior,USA,0
Disturbing Behavior,Canada,0
Elizabeth,UK,1
Enemy of the State,USA,0
Fear and Loathing in Las Vegas,USA,0
Get Real,UK,0
Godzilla,USA,0
Godzilla,Japan,0
Halloween H20: 20 Years Later,USA,0
Happiness,USA,0
Hope Floats,USA,0
Little Voice,UK,0
"Lock, Stock and Two Smoking Barrels",UK,0
Lost in Space,USA,0
Mercury Rising,USA,0
Mulan,USA,0
Out of Sight,USA,0
Pi,USA,0
Practical Magic,USA,0
Practical Magic,Australia,0
Primary Colors,France,0
Primary Colors,UK,0
Primary Colors,Germany,0
Primary Colors,USA,0
Primary Colors,Japan,0
Quest for Camelot,USA,0
Rounders,USA,0
Run Lola Run,Germany,0
Rush Hour,USA,0
Rushmore,USA,0
Saving Private Ryan,USA,5
Shakespeare in Love,USA,7
Six Days Seven Nights,USA,0
Sliding Doors,UK,0
Sliding Doors,USA,0
Slums of Beverly Hills,USA,0
Small Soldiers,USA,0
Smoke Signals,Canada,0
Smoke Signals,USA,0
Star Trek: Insurrection,USA,0
Stepmom,USA,0
The Avengers,USA,0
The Big Lebowski,USA,0
The Big Lebowski,UK,0
The Faculty,USA,0
The Man in the Iron Mask,USA,0
The Man in the Iron Mask,France,0
The Mask of Zorro,USA,0
The Mask of Zorro,Germany,0
The Negotiator,Germany,0
The Negotiator,USA,0
The Prince of Egypt,USA,1
The Thin Red Line,USA,0
The Truman Show,USA,0
Urban Legend,USA,0
Urban Legend,France,0
Velvet Goldmine,UK,0
Velvet Goldmine,USA,0
Wild Things,USA,0
A Simple Wish,USA,0
Air Bud,USA,0
Air Bud,Canada,0
Air Force One,USA,0
Air Force One,Germany,0
Alien: Resurrection,USA,0
Anastasia,USA,0
As Good as It Gets,USA,2
Austin Powers: International Man of Mystery,USA,0
Austin Powers: International Man of Mystery,Germany,0
Boogie Nights,USA,0
Chasing Amy,USA,0
Cinderella,USA,0
Clockwatchers,UK,0
Clockwatchers,USA,0
Con Air,USA,0
Conspiracy Theory,USA,0
Contact,USA,0
Event Horizon,UK,0
Event Horizon,USA,0
Flubber,USA,0
G.I. Jane,USA,0
G.I. Jane,UK,0
Gattaca,USA,0
George of the Jungle,USA,0
Good Will Hunting,USA,2
Grosse Pointe Blank,USA,0
Hercules,USA,0
I Know What You Did Last Summer,USA,0
In the Company of Men,Canada,0
In the Company of Men,USA,0
Jackie Brown,USA,0
Kiss the Girls,USA,0
L.A. Confidential,USA,2
Liar Liar,USA,0
Men in Black,USA,1
Scream 2,USA,0
Selena,USA,0
Spawn,USA,0
Starship Troopers,USA,0
The Fifth Element,France,0
The Game,USA,0
The Lost World: Jurassic Park,USA,0
The Peacemaker,USA,0
The Postman,USA,0
Titanic,USA,11
Volcano,USA,0
August,UK,0
August,USA,0
Bound,USA,0
Broken Arrow,USA,0
Chain Reaction,USA,0
DragonHeart,USA,0
Emma,UK,1
Emma,USA,1
Escape from L.A.,USA,0
Fargo,USA,2
Fargo,UK,2
Freeway,USA,0
From Dusk Till Dawn,USA,0
Hamlet,UK,0
Hamlet,USA,0
Harriet the Spy,USA,0
Independence Day,USA,1
Jingle All the Way,USA,0
Love and Other Catastrophes,Australia,0
Mars Attacks!,USA,0
Mission: Impossible,USA,0
Romeo + Juliet,USA,0
Scream,USA,0
Set It Off,USA,0
Space Jam,USA,0
Star Trek: First Contact,USA,0
Striptease,USA,0
That Thing You Do!,USA,0
The Cable Guy,USA,0
The Craft,USA,0
The English Patient,USA,9
The English Patient,UK,9
The Fan,USA,0
The First Wives Club,USA,0
The Hunchback of Notre Dame,USA,0
The Long Kiss Goodnight,USA,0
The Mirror Has Two Faces,USA,0
The Rock,USA,0
Trainspotting,UK,0
Twister,USA,0
Walking and Talking,UK,0
Walking and Talking,USA,0
Walking and Talking,Germany,0
Apollo 13,USA,2
Assassins,USA,0
Assassins,France,0
Batman Forever,USA,0
Batman Forever,UK,0
Before Sunrise,USA,0
Before Sunrise,Austria,0
Before Sunrise,Switzerland,0
Braveheart,USA,5
Casino,USA,0
Casino,France,0
Casper,USA,0
Clueless,USA,0
Congo,USA,0
Copycat,USA,0
Die Hard: With a Vengeance,USA,0
Jumanji,USA,0
Mortal Kombat,USA,0
Outbreak,USA,0
Pocahontas,USA,2
Pride and Prejudice,UK,0
Sabrina,Germany,0
Sabrina,USA,0
Safe,UK,0
Safe,USA,0
Se7en,USA,0
Sense and Sensibility,USA,1
Sense and Sensibility,UK,1
Showgirls,France,0
Showgirls,USA,0
Species,USA,0
The American President,USA,0
The Bridges of Madison County,USA,0
The Net,USA,0
The Quick and the Dead,USA,0
The Quick and the Dead,Japan,0
The Usual Suspects,USA,2
The Usual Suspects,Germany,2
Toy Story,USA,0
Twelve Monkeys,USA,0
Waterworld,USA,0
Welcome to the Dollhouse,USA,0
Ace Ventura: Pet Detective,USA,0
Beverly Hills Cop III,USA,0
Clerks.,USA,0
Crooklyn,USA,0
Ed Wood,USA,2
Forrest Gump,USA,6
Legends of the Fall,USA,1
Little Women,USA,0
Little Women,Canada,0
Naked Gun 33 1/3: The Final Insult,USA,0
Priest,UK,0
Pulp Fiction,USA,1
Speed,USA,2
Stargate,France,0
Stargate,USA,0
Street Fighter,USA,0
Street Fighter,Japan,0
The Client,USA,0
The Hudsucker Proxy,UK,0
The Hudsucker Proxy,Germany,0
The Hudsucker Proxy,USA,0
The Lion King,USA,2
The Mask,USA,0
The Santa Clause,USA,0
The Shadow,USA,0
The Shawshank Redemption,USA,0
The Specialist,Peru,0
The Specialist,USA,0
Timecop,Canada,0
Timecop,USA,0
Timecop,Japan,0
True Lies,USA,0
Cliffhanger,Italy,0
Cliffhanger,France,0
Cliffhanger,USA,0
Cool Runnings,USA,0
Dazed and Confused,USA,0
Gettysburg,USA,0
Groundhog Day,USA,0
Hocus Pocus,USA,0
Jurassic Park,USA,3
Mrs. Doubtfire,USA,1
Super Mario Bros.,UK,0
Super Mario Bros.,USA,0
The Age of Innocence,USA,1
The Fugitive,USA,1
The Remains of the Day,UK,0
The Remains of the Day,USA,0
Tombstone,USA,0
A Few Good Men,USA,0
A League of Their Own,USA,0
Aladdin,USA,2
Army of Darkness,USA,0
Batman Returns,USA,0
Batman Returns,UK,0
Death Becomes Her,USA,1
Glengarry Glen Ross,USA,0
Home Alone 2: Lost in New York,USA,0
Malcolm X,USA,0
Malcolm X,Japan,0
My Cousin Vinny,USA,1
Reservoir Dogs,USA,0
The Crying Game,UK,1
The Crying Game,Japan,1
The Mighty Ducks,USA,0
The Muppet Christmas Carol,USA,0
The Player,USA,0
Beauty and the Beast,USA,2
Hook,USA,0
Hudson Hawk,USA,0
Robin Hood: Prince of Thieves,USA,0
Slacker,USA,0
Star Trek VI: The Undiscovered Country,USA,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,USA,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Hong Kong,0
The Addams Family,USA,0
The Silence of the Lambs,USA,5
White Fang,USA,0
Back to the Future Part III,USA,0
Die Hard 2,USA,0
Edward Scissorhands,USA,0
Flatliners,USA,0
Ghost,USA,2
Goodfellas,USA,1
Home Alone,USA,0
Predator 2,USA,0
Pretty Woman,USA,0
The Hunt for Red October,USA,1
Total Recall,USA,0
Tremors,USA,0
Back to the Future Part II,USA,0
Batman,USA,1
Batman,UK,1
Dead Poets Society,USA,1
Henry V,UK,1
Indiana Jones and the Last Crusade,USA,1
Licence to Kill,UK,0
Licence to Kill,USA,0
Major League,USA,0
Road House,USA,0
"Sex, Lies, and Videotape",USA,0
Star Trek V: The Final Frontier,USA,0
The Abyss,USA,1
Action Jackson,USA,0
Akira,Japan,0
Bloodsport,USA,0
Dangerous Liaisons,USA,3
Dangerous Liaisons,UK,3
Die Hard,USA,0
Midnight Run,USA,0
My Stepmother Is an Alien,USA,0
Mystic Pizza,USA,0
Poltergeist III,USA,0
Rain Man,USA,4
Scrooged,USA,0
The Land Before Time,USA,0
The Land Before Time,Ireland,0
The Last Temptation of Christ,USA,0
The Last Temptation of Christ,Canada,0
They Live,USA,0
Twins,USA,0
